"carried","bar","vowel"
"his","little","stove"
"bush","taught","crop"
"using","seems","lunch"
"nobody","brother","cat"
"nobody","process","modern"
"sort","surrounded","danger"
"share","hardly","failed"
"up","independent","prove"
"language","longer","compound"
"jar","stick","may"
"from","drink","hungry"
"farm","sand","particularly"
"stock","seed","feed"
"drove","species","brave"
"block","death","circus"
"independent","count","court"
"president","opposite","wrong"
"ate","string","college"
"combine","higher","slight"
"hour","dear","send"
