"deeply","appropriate",1
"listen","two",2
"cup","aid",3
"sheet","found",4
"cattle","reason",5
"young","sometime",6
"play","mine",7
"lead","usual",8
"courage","door",9
"previous","silly",10
"string","couple",11
"what","my",12
"fourth","signal",13
"correct","express",14
"available","member",15
"mouse","game",16
"current","deal",17
"struck","sit",18
"experiment","left",19
"escape","under",20
"type","lips",21
"from","silk",22
"pattern","younger",23
"rather","held",24
"ride","you",25
"ride","coal",26
"worry","spin",27
"lying","root",28
"age","pass",29
"gold","equal",30
"lion","ourselves",31
"deer","value",32
"exist","strange",33
"observe","rhyme",34
"word","lamp",35
"possible","cut",36
"palace","coming",37
"vowel","numeral",38
"peace","cost",39
"direct","at",40
"porch","should",41
"everywhere","does",42
"soft","production",43
"tonight","fun",44
"western","rich",45
"outline","nobody",46
"sit","reach",47
"select","page",48
"failed","particularly",49
"city","hunt",50
